iter	Passed	Remaining
0	1	157
1	2	142
2	4	134
3	4	119
4	6	115
5	7	114
6	8	112
7	9	110
8	10	108
9	11	106
10	12	103
11	13	101
12	14	99
13	15	97
14	16	96
15	18	94
16	19	93
17	20	91
18	21	90
19	22	88
20	23	87
21	24	85
22	25	84
23	26	83
24	27	81
25	28	80
26	29	79
27	30	78
28	31	76
29	32	75
30	33	74
31	34	73
32	35	72
33	36	71
34	37	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	44	62
42	45	60
43	47	59
44	48	58
45	49	58
46	50	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	50
54	59	48
55	61	47
56	62	46
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	70	39
64	71	38
65	72	37
66	73	36
67	75	35
68	76	34
69	77	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	19
83	93	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	109	2
98	110	1
99	111	0
