iter	Passed	Remaining
0	85	85151
1	85	42846
2	86	28723
3	87	21759
4	88	17514
5	88	14678
6	89	12647
7	89	11125
8	90	9965
9	91	9022
10	91	8253
11	92	7604
12	92	7053
13	93	6581
14	94	6175
15	94	5821
16	95	5507
17	95	5225
18	96	4975
19	96	4750
20	97	4550
21	98	4371
22	99	4205
23	99	4059
24	100	3915
25	101	3804
26	102	3689
27	102	3573
28	103	3466
29	104	3367
30	104	3277
31	105	3192
32	106	3110
33	106	3031
34	107	2956
35	107	2886
36	108	2821
37	109	2759
38	109	2700
39	110	2644
40	110	2590
41	111	2540
42	111	2491
43	112	2448
44	113	2403
45	113	2359
46	114	2317
47	114	2277
48	115	2249
49	116	2213
50	117	2178
51	118	2162
52	119	2137
53	120	2106
54	120	2076
55	121	2047
56	122	2019
57	122	1995
58	123	1969
59	124	1942
60	124	1917
61	125	1893
62	125	1872
63	126	1849
64	127	1829
65	127	1807
66	128	1786
67	128	1765
68	129	1745
69	130	1728
70	130	1710
71	131	1693
72	132	1677
73	132	1662
74	133	1646
75	134	1631
76	134	1615
77	135	1599
78	135	1583
79	136	1568
80	136	1553
81	137	1539
82	137	1523
83	138	1509
84	139	1496
85	139	1483
86	140	1471
87	140	1458
88	142	1457
89	143	1446
90	143	1435
91	144	1423
92	144	1412
93	145	1403
94	146	1392
95	146	1382
96	147	1371
97	147	1361
98	148	1350
99	149	1342
100	149	1333
101	150	1323
102	150	1314
103	151	1304
104	152	1295
105	152	1287
106	153	1281
107	154	1273
108	154	1266
109	155	1259
110	156	1252
111	156	1244
112	157	1236
113	158	1229
114	158	1222
115	159	1214
116	159	1206
117	160	1199
118	161	1192
119	161	1185
120	162	1178
121	162	1170
122	163	1163
123	163	1157
124	164	1150
125	164	1144
126	165	1136
127	165	1130
128	166	1123
129	166	1117
130	167	1111
131	168	1105
132	168	1099
133	169	1094
134	169	1088
135	170	1082
136	170	1076
137	171	1071
138	172	1065
139	172	1060
140	173	1055
141	173	1048
142	174	1043
143	174	1037
144	175	1033
145	175	1028
146	176	1023
147	177	1019
148	177	1014
149	178	1010
150	179	1006
151	179	1002
152	180	998
153	180	993
154	181	989
155	182	985
156	182	981
157	183	977
158	184	973
159	184	969
160	185	964
161	185	960
162	186	955
163	186	951
164	187	947
165	187	944
166	188	941
167	189	937
168	189	934
169	190	930
170	191	927
171	191	923
172	192	920
173	193	916
174	193	913
175	194	909
176	194	906
177	195	902
178	196	899
179	196	895
180	197	892
181	197	889
182	198	885
183	198	881
184	199	878
185	199	875
186	200	871
187	201	868
188	201	865
189	202	862
190	202	859
191	203	856
192	203	852
193	204	849
194	205	847
195	205	844
196	206	841
197	207	839
198	207	835
199	208	832
200	208	829
201	209	826
202	209	824
203	210	821
204	210	818
205	211	815
206	212	812
207	212	809
208	213	807
209	213	804
210	214	802
211	215	799
212	215	796
213	216	794
214	217	792
215	217	790
216	218	787
217	218	785
218	219	783
219	220	782
220	221	780
221	222	778
222	222	775
223	223	774
224	224	772
225	224	770
226	225	768
227	226	765
228	226	763
229	227	761
230	228	759
231	228	756
232	229	754
233	229	752
234	230	750
235	230	747
236	231	745
237	232	743
238	232	741
239	233	739
240	234	737
241	234	734
242	235	732
243	235	730
244	236	728
245	237	726
246	237	724
247	238	721
248	238	719
249	239	717
250	239	715
251	240	713
252	240	711
253	241	708
254	242	707
255	242	705
256	243	703
257	244	701
258	244	699
259	245	697
260	245	695
261	246	693
262	247	692
263	247	690
264	248	688
265	248	685
266	249	683
267	249	682
268	250	680
269	251	678
270	251	677
271	252	675
272	252	673
273	253	671
274	254	669
275	254	668
276	255	667
277	256	665
278	257	664
279	257	662
280	258	660
281	258	659
282	259	657
283	260	655
284	260	654
285	261	652
286	261	650
287	262	649
288	263	648
289	264	647
290	265	646
291	265	644
292	266	642
293	266	640
294	267	638
295	267	637
296	268	635
297	269	633
298	269	632
299	270	630
300	270	629
301	271	627
302	272	626
303	272	624
304	273	623
305	274	621
306	274	619
307	275	618
308	275	616
309	276	615
310	277	615
311	278	613
312	278	611
313	279	610
314	279	608
315	280	607
316	281	605
317	281	603
318	282	602
319	282	600
320	283	599
321	283	597
322	284	596
323	284	594
324	285	593
325	286	591
326	286	589
327	287	588
328	287	586
329	288	585
330	288	583
331	289	582
332	289	580
333	290	578
334	290	577
335	291	575
336	291	574
337	292	572
338	293	571
339	293	569
340	294	568
341	294	567
342	295	565
343	295	564
344	296	562
345	296	561
346	297	559
347	298	558
348	298	556
349	299	555
350	299	554
351	300	552
352	300	551
353	301	549
354	301	548
355	302	547
356	302	545
357	303	544
358	304	542
359	304	541
360	305	540
361	305	538
362	306	537
363	306	536
364	307	534
365	308	533
366	308	532
367	309	530
368	309	529
369	310	528
370	310	527
371	311	525
372	312	524
373	312	523
374	313	521
375	313	520
376	314	519
377	314	517
378	315	516
379	315	515
380	316	513
381	316	512
382	317	511
383	318	510
384	319	510
385	320	509
386	320	508
387	321	507
388	322	505
389	322	504
390	323	503
391	323	502
392	324	501
393	325	500
394	325	499
395	326	497
396	326	496
397	327	495
398	327	493
399	328	492
400	329	491
401	329	490
402	330	489
403	330	488
404	331	487
405	332	486
406	332	484
407	333	483
408	333	482
409	334	481
410	334	480
411	335	478
412	336	477
413	336	476
414	337	475
415	337	474
416	338	473
417	338	471
418	339	470
419	340	469
420	340	468
421	341	467
422	341	466
423	342	465
424	343	464
425	343	463
426	344	462
427	344	461
428	345	459
429	346	458
430	346	457
431	347	456
432	347	455
433	348	454
434	348	453
435	349	452
436	350	451
437	351	450
438	351	449
439	352	448
440	353	447
441	353	446
442	354	445
443	354	444
444	355	443
445	355	442
446	356	440
447	356	439
448	357	438
449	357	437
450	358	436
451	359	435
452	359	434
453	360	433
454	360	432
455	361	430
456	361	429
457	362	428
458	362	427
459	363	426
460	364	425
461	364	424
462	365	423
463	365	422
464	366	421
465	366	420
466	367	419
467	367	418
468	368	417
469	369	416
470	369	415
471	371	415
472	371	414
473	372	413
474	372	411
475	373	410
476	373	409
477	374	408
478	374	407
479	375	406
480	376	405
481	376	405
482	377	404
483	378	403
484	378	402
485	379	401
486	380	400
487	380	399
488	381	398
489	381	397
490	382	396
491	382	395
492	383	394
493	383	393
494	384	392
495	385	391
496	385	390
497	386	389
498	386	388
499	387	387
500	387	386
501	388	385
